site,date,AOD
location_278671,2025-03-20,-999.0
location_278671,2025-03-21,1.006163
location_278671,2025-03-22,-832.3454
location_278671,2025-03-23,0.8800247
location_278671,2025-03-24,-165.6342
location_278671,2025-03-25,0.583767
location_278671,2025-03-26,-165.89343
location_278671,2025-03-27,-199.35915
location_278671,2025-03-28,-165.8568
location_278671,2025-03-29,-165.65611
location_278671,2025-03-30,-165.70888
location_278671,2025-03-31,-165.67955
location_278671,2025-04-01,-165.72523
location_278671,2025-04-02,-165.61888
location_278671,2025-04-03,-165.5968
location_278671,2025-04-04,-332.34592
location_278671,2025-04-05,-165.70406
location_278671,2025-04-06,-332.36874
location_278671,2025-04-07,-165.60342
location_278671,2025-04-08,-165.64537
location_278671,2025-04-09,-332.3633
location_278671,2025-04-10,-331.99072
location_278671,2025-04-11,-665.43677
location_278671,2025-04-12,-332.2133
location_278671,2025-04-13,-332.25894
location_278671,2025-04-14,-498.902
location_278671,2025-04-15,-332.32877
location_278671,2025-04-16,-832.26685
location_278671,2025-04-17,-332.27527
location_278671,2025-04-18,-332.10324
location_278671,2025-04-19,-332.01556
location_278671,2025-04-20,-331.98447
location_278671,2025-04-21,-331.9961
location_278671,2025-04-22,-332.07205
location_278671,2025-04-23,-332.12033
location_278671,2025-04-24,-332.2192
location_278671,2025-04-25,-332.25082
location_278671,2025-04-26,-332.25302
location_278671,2025-04-27,-498.6986
location_278671,2025-04-28,-332.2087
location_278671,2025-04-29,-332.4314
location_278671,2025-04-30,-332.4925
location_278671,2025-05-01,-427.71063
location_278671,2025-05-02,-427.50662
location_278671,2025-05-03,-856.1112
location_278671,2025-05-04,-427.53323
location_278671,2025-05-05,-856.0923
location_278671,2025-05-06,-713.2222
location_278671,2025-05-07,-570.1603
location_278671,2025-05-08,-999.0
location_278671,2025-05-09,-856.0488
location_278671,2025-05-10,-999.0
location_278671,2025-05-11,-999.0
location_278671,2025-05-12,-713.2752
location_278671,2025-05-13,-856.0461
location_278671,2025-05-14,-856.0661
location_278671,2025-05-15,-999.0
location_278671,2025-05-16,-999.0
location_278671,2025-05-17,-999.0
location_278671,2025-05-18,-856.01575
location_278671,2025-05-19,-855.9222
location_278671,2025-05-20,-855.88135
location_278671,2025-05-21,-856.01984
location_278671,2025-05-22,-713.1782
location_278671,2025-05-23,-713.17804
location_278671,2025-05-24,-855.9644
location_278671,2025-05-25,-855.9671
location_278671,2025-05-26,-999.0
location_278671,2025-05-27,-855.9813
location_278671,2025-05-28,-999.0
location_278671,2025-05-29,-856.02844
location_278671,2025-05-30,-999.0
location_278671,2025-05-31,-999.0
location_278671,2025-06-01,-999.0
location_278671,2025-06-02,-999.0
location_278671,2025-06-03,-999.0
location_278671,2025-06-04,-856.00006
location_278671,2025-06-05,-999.0
location_278671,2025-06-06,-999.0
location_278671,2025-06-07,-999.0
location_278671,2025-06-08,-999.0
location_278671,2025-06-09,-999.0
location_278671,2025-06-10,-999.0
location_278671,2025-06-11,-999.0
location_278671,2025-06-12,-999.0
location_278671,2025-06-13,-999.0
location_278671,2025-06-14,-999.0
location_278671,2025-06-15,-999.0
location_278671,2025-06-16,-999.0
location_278671,2025-06-17,-999.0
location_278671,2025-06-18,-999.0
location_301387,2025-01-18,0.6598797
location_301387,2025-01-19,0.41991353
location_301387,2025-01-20,0.43097952
location_301387,2025-01-21,0.4249318
location_301387,2025-01-22,0.3727876
location_301387,2025-01-23,0.34968027
