date,T2M,RH2M,U2M,V2M,PS,site
2025-03-07,295.6942,16.102362,1.7700135,-0.51904297,99540.375,location_234568
2025-03-08,297.66647,14.479923,1.071359,-0.4313166,99532.43,location_234568
2025-03-09,297.11172,18.24483,-0.74359894,-0.29882458,99963.02,location_234568
2025-03-10,299.50095,19.466991,-0.42140523,-0.05629005,100114.75,location_234568
2025-03-11,300.19324,22.377892,1.5476645,0.34037355,99771.37,location_234568
2025-03-12,301.37558,24.207016,2.0339527,-0.332691,99305.57,location_234568
2025-03-13,303.3144,26.533531,0.81111926,-0.16277106,99229.85,location_234568
2025-03-14,302.988,25.850283,-0.089784704,-0.20558453,99382.03,location_234568
2025-03-15,303.10092,24.518156,-0.15165108,0.037526224,99524.695,location_234568
2025-03-16,302.63058,26.861048,0.9188226,-0.877248,99457.94,location_234568
2025-03-17,300.09824,27.912085,2.4084892,-2.1420844,99694.31,location_234568
2025-03-18,297.97934,24.31811,2.2846646,-0.72969204,99704.85,location_234568
2025-03-19,299.40384,17.70138,1.4577885,-0.77405244,99850.59,location_234568
2025-03-20,301.20728,16.359055,0.6801272,-0.6257908,99852.28,location_234568
2025-03-21,300.1509,17.519361,1.1774803,-0.99628854,99777.13,location_234568
2025-03-22,299.954,21.7471,0.9991023,-0.15095957,99836.086,location_234568
2025-03-23,299.5582,21.45636,-0.23095296,-0.1936413,99987.62,location_234568
2025-03-24,301.22333,15.987483,0.023366287,-0.18700534,99892.375,location_234568
2025-03-25,301.75626,15.701655,1.2212951,-0.30443394,99428.16,location_234568
2025-03-26,303.58725,15.627717,1.7588671,-0.64371675,99196.93,location_234568
2025-03-27,304.47238,18.281391,2.4094553,-0.6259238,99054.1,location_234568
2025-03-28,302.20358,13.095291,2.7312021,-1.5212337,99232.63,location_234568
2025-03-29,299.0671,7.7741876,2.9663591,-0.78734964,99359.19,location_234568
2025-03-30,299.22995,9.698647,2.4760401,-0.8262687,99483.99,location_234568
2025-03-31,300.60046,10.474083,2.2268903,-0.9023693,99430.96,location_234568
